uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
0cc21155-7f74-4ee3-b58f-dfc8bcda2c54,8.26171875,49.49667452747043,8.4375,49.610709938074216,2023-05-01,2023-05-31,"POLYGON ((8.26171875 49.49667452747043, 8.26171875 49.610709938074216, 8.4375 49.610709938074216, 8.4375 49.49667452747043, 8.26171875 49.49667452747043))"
e5c19069-206c-47a9-9a02-e482e319fcc9,8.4375,49.15296965617039,8.61328125,49.26780455063753,2023-05-01,2023-05-31,"POLYGON ((8.4375 49.15296965617039, 8.4375 49.26780455063753, 8.61328125 49.26780455063753, 8.61328125 49.15296965617039, 8.4375 49.15296965617039))"
ca7fe6b1-e095-409a-bdce-6ea6d282b864,8.4375,49.26780455063753,8.61328125,49.38237278700955,2023-05-01,2023-05-31,"POLYGON ((8.4375 49.26780455063753, 8.4375 49.38237278700955, 8.61328125 49.38237278700955, 8.61328125 49.26780455063753, 8.4375 49.26780455063753))"
c999d587-5a88-48ea-b452-7dfc5b354651,8.61328125,49.15296965617039,8.789062499999998,49.26780455063753,2023-05-01,2023-05-31,"POLYGON ((8.61328125 49.15296965617039, 8.61328125 49.26780455063753, 8.789062499999998 49.26780455063753, 8.789062499999998 49.15296965617039, 8.61328125 49.15296965617039))"
56f3b128-0bfb-44a2-a66e-9082632d85ab,8.61328125,49.26780455063753,8.789062499999998,49.38237278700955,2023-05-01,2023-05-31,"POLYGON ((8.61328125 49.26780455063753, 8.61328125 49.38237278700955, 8.789062499999998 49.38237278700955, 8.789062499999998 49.26780455063753, 8.61328125 49.26780455063753))"
78053a4b-0d08-49f7-8d7d-48bf430e4a14,8.789062499999998,49.15296965617039,8.96484375,49.26780455063753,2023-05-01,2023-05-31,"POLYGON ((8.789062499999998 49.15296965617039, 8.789062499999998 49.26780455063753, 8.96484375 49.26780455063753, 8.96484375 49.15296965617039, 8.789062499999998 49.15296965617039))"
25deea23-29d0-4270-999c-e0582bbdbd73,8.789062499999998,49.26780455063753,8.96484375,49.38237278700955,2023-05-01,2023-05-31,"POLYGON ((8.789062499999998 49.26780455063753, 8.789062499999998 49.38237278700955, 8.96484375 49.38237278700955, 8.96484375 49.26780455063753, 8.789062499999998 49.26780455063753))"
60fc502b-e78a-4926-964c-88a8e1b80464,8.96484375,49.15296965617039,9.140625,49.26780455063753,2023-05-01,2023-05-31,"POLYGON ((8.96484375 49.15296965617039, 8.96484375 49.26780455063753, 9.140625 49.26780455063753, 9.140625 49.15296965617039, 8.96484375 49.15296965617039))"
10ceda0e-74f3-43b6-be09-6e7ce8e40e8a,8.96484375,49.26780455063753,9.140625,49.38237278700955,2023-05-01,2023-05-31,"POLYGON ((8.96484375 49.26780455063753, 8.96484375 49.38237278700955, 9.140625 49.38237278700955, 9.140625 49.26780455063753, 8.96484375 49.26780455063753))"
4a13ec83-a0dd-4ea9-8a18-c67de4c3cc89,8.4375,49.38237278700955,8.61328125,49.49667452747043,2023-05-01,2023-05-31,"POLYGON ((8.4375 49.38237278700955, 8.4375 49.49667452747043, 8.61328125 49.49667452747043, 8.61328125 49.38237278700955, 8.4375 49.38237278700955))"
8d6252ec-0fb4-4873-897e-1e346df1658a,8.4375,49.49667452747043,8.61328125,49.610709938074216,2023-05-01,2023-05-31,"POLYGON ((8.4375 49.49667452747043, 8.4375 49.610709938074216, 8.61328125 49.610709938074216, 8.61328125 49.49667452747043, 8.4375 49.49667452747043))"
c9195372-ee06-445f-9946-307f5107200d,8.61328125,49.38237278700955,8.789062499999998,49.49667452747043,2023-05-01,2023-05-31,"POLYGON ((8.61328125 49.38237278700955, 8.61328125 49.49667452747043, 8.789062499999998 49.49667452747043, 8.789062499999998 49.38237278700955, 8.61328125 49.38237278700955))"
1610714f-a91a-4165-9d52-32e6a7b77c14,8.61328125,49.49667452747043,8.789062499999998,49.610709938074216,2023-05-01,2023-05-31,"POLYGON ((8.61328125 49.49667452747043, 8.61328125 49.610709938074216, 8.789062499999998 49.610709938074216, 8.789062499999998 49.49667452747043, 8.61328125 49.49667452747043))"
729519d0-0062-4531-9918-6f39941e6409,8.4375,49.610709938074216,8.61328125,49.72447918871299,2023-05-01,2023-05-31,"POLYGON ((8.4375 49.610709938074216, 8.4375 49.72447918871299, 8.61328125 49.72447918871299, 8.61328125 49.610709938074216, 8.4375 49.610709938074216))"
dca6285d-8554-440b-932d-9abe411e99d7,8.61328125,49.610709938074216,8.789062499999998,49.72447918871299,2023-05-01,2023-05-31,"POLYGON ((8.61328125 49.610709938074216, 8.61328125 49.72447918871299, 8.789062499999998 49.72447918871299, 8.789062499999998 49.610709938074216, 8.61328125 49.610709938074216))"
8bcf8fe6-1402-485f-85a6-ad6029f311f7,8.789062499999998,49.38237278700955,8.96484375,49.49667452747043,2023-05-01,2023-05-31,"POLYGON ((8.789062499999998 49.38237278700955, 8.789062499999998 49.49667452747043, 8.96484375 49.49667452747043, 8.96484375 49.38237278700955, 8.789062499999998 49.38237278700955))"
